product,series_id,speed_rpm,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,raw_low_band_dbfs,local_background_est_dba,exhaust_ratio_db,wav
东德基准,DD_BASE_260707_700,700,21,27.64,81.42551508049814,77.08937011828559,81.53085409462985,-35.683339708091324,65.32634042793985,9.276011049143179,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,22,28.88,74.093484229035,70.54778023257398,74.63511927189577,-42.57907453082539,65.32634042793985,17.266081496190075,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,23,30.48,81.49759404972971,76.79921716065392,81.59480414192018,-35.619389660800984,65.04556019482345,15.988861455258313,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,24,31.72,74.9359718226026,72.2824465518976,75.35997631214771,-41.85421749057346,65.04556019482345,19.5057311681403,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,25,32.88,70.1004408229816,55.33956981915979,70.99060439529563,-46.223589407425536,63.66997729934492,22.855200005942454,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,26,33.3,81.28380986612709,76.83317595405256,81.36545254950703,-35.84874125321414,64.06602474833593,11.150039737461235,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,27,34.56,74.15604092718007,71.52206359543332,74.5618611530571,-42.652332649664075,64.06602474833593,21.70790087599222,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,28,35.88,69.21876609296206,58.673542119534915,70.34515258291478,-46.869041219806384,63.933156223932,23.18332928429993,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,29,36.26,74.58129531636328,68.66088920466034,74.96973444368842,-42.244459359032746,64.29234897413777,16.773844059969715,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,30,37.54,74.837421512734,71.99321602605085,75.20452831173948,-42.00966549098169,64.29234897413777,18.378609901492947,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,31,38.5,68.33031664054147,55.10125096724728,70.27676379116676,-46.937430011554405,65.85441138152896,21.7775876462931,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,32,38.82,87.0688781134422,86.27250803122806,87.10987803973603,-30.104315762985138,66.83938185103241,8.937964464785594,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,33,40.02,71.45769590780645,68.99904170897805,73.03044077936994,-44.18375302335122,67.85651339758519,19.55742831625859,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,34,41.54,82.57929939226217,80.20104988073919,82.66497076695273,-34.54922303576843,65.57271973996448,10.74538567940866,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,35,42.66,73.50829663074737,71.35853066986837,74.15608712702108,-43.05810667570009,65.57271973996448,16.83649540624002,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,36,44.26,80.28055984701757,75.76011070832074,80.38466515858472,-36.829528644136445,64.1296022519615,14.700810730637919,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,37,45.52,71.42990087031762,68.79844586465974,72.1714650947001,-45.04272870802108,64.1296022519615,21.544745093730068,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,38,47.1,79.47478641132946,75.01126331630016,79.57637962066022,-37.63781418206094,63.21648572411094,10.929420659708597,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,39,48.34,72.67734832010127,69.73598528180823,73.1431487518436,-44.07104505087758,63.21648572411094,18.33961125127403,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
东德基准,DD_BASE_260707_700,700,40,49.0,64.4656752600535,53.66973642041675,66.8961405323658,-50.318053270355364,63.21648572411094,29.41939469045278,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_thump_loudness_quant\wav\东德竞品_700rpm_700.wav
