series_id,date,condition,short_label,speed_rpm,run,event_index,time_s,thump_level_est_dba,event_energy_est_dba,raw_peak_est_dba,background_est_dba,exhaust_ratio_db,wav,normalized_thump_peak_db,normalized_event_energy_db
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,39,34.34,86.18234658559918,84.57474299924073,86.44002733587956,74.04480063487648,2.937804411582512,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.72602830637766,76.1184247200192
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,40,36.08,86.53396116367202,84.5834875625334,86.75271467723532,73.66550427816257,3.518926797063937,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,78.0776428844505,76.12716928331189
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,41,37.06,86.4434513062891,84.93626411728924,86.6666952056375,73.66550427816257,4.314333145041282,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,77.98713302706759,76.47994583806772
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,42,38.42,92.1825747095803,89.82787268417361,92.27370595086454,75.44704975273726,0.7660357819762069,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,83.72625643035877,81.3715544049521
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,43,39.5,88.18315165179648,86.22179030306701,88.41948133831801,75.6591920050926,0.7018697536400325,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.72683337257496,77.76547202384549
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,44,40.48,77.90664348048463,63.71268124074788,79.18676428628743,73.25708091339462,10.770671987708653,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,69.45032520126311,55.25636296152636
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,45,40.84,91.39340937041351,88.39874570776635,91.47017296774325,73.90555777703364,-0.7708296899832447,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,82.93709109119199,79.94242742854483
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,46,41.94,85.42155620494805,84.7906977243432,85.71756193771864,73.90555777703364,2.719749639812978,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,76.96523792572653,76.33437944512168
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,47,42.96,76.97023934816731,63.07884619854634,78.24333769028495,72.29310373883587,12.021166253438384,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,68.51392106894579,54.62252791932482
FR_0716_CYL_800,2026-07-16,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,48,43.38,88.4353820308189,85.27918101135766,88.55487066466327,72.89068617117827,1.34821538727752,C:\Users\admin\Documents\Codex\2026-07-13\yi-j\work\hpdi_followup_v3\wav\FR_0716_CYL_800.wav,79.97906375159738,76.82286273213614
